node_id,DC,BC,CC,CI,PR,KS,SAASP-fixed,SAASP-adaptive
0,0.042639593908629446,0.001167511079606912,0.43013100436681223,1034020.0,0.001248512608308839,27.0,0.4790065608089644,0.4790065608089644
1,0.050761421319796954,0.0012416610632686278,0.430506993006993,1157821.0,0.001459557801916764,28.0,0.44811061631519233,0.44811061631519233
2,0.09441624365482235,0.006825746753626339,0.47039159503342887,2159240.0,0.002691253879905334,32.0,0.49294617497850246,0.49294617497850246
3,0.0700507614213198,0.0017180131923432128,0.45018281535648996,1611736.0,0.001887185212348625,32.0,0.47314086777782793,0.47314086777782793
4,0.09543147208121829,0.005763663577430556,0.47106647537063606,2124585.0,0.002610313992915468,32.0,0.5017096996156182,0.5017096996156182
5,0.1715736040609137,0.03220257241481287,0.5111572392319668,3629640.0,0.0051349953836890136,32.0,0.6067398565602743,0.6067398565602743
6,0.11472081218274112,0.012869357905991632,0.48498276710979815,2704912.0,0.0032555300223381135,31.0,0.5622931501526875,0.5622931501526875
7,0.07106598984771574,0.002927483314788171,0.4282608695652174,1652757.0,0.002058542952563287,23.0,0.483695187531861,0.483695187531861
8,0.03553299492385787,0.0005785287036650848,0.42112013681060284,851190.0,0.0010751992444570063,21.0,0.4432770889468665,0.4432770889468665
9,0.03857868020304569,0.000291226754156716,0.3630667158127534,529211.0,0.0012218793060221776,20.0,0.3716715911153764,0.3716715911153764
10,0.04771573604060914,0.0011263809999723792,0.451007326007326,1173552.0,0.0013555950278324712,29.0,0.4449977013317436,0.4449977013317436
11,0.0751269035532995,0.0040999121485665296,0.4395359214636323,1764629.0,0.0021244795062529136,27.0,0.4719311646335752,0.4719311646335752
12,0.05685279187817259,0.004898807922727677,0.44150605109816227,1377585.0,0.0017546443771254306,25.0,0.4826946823794976,0.4826946823794976
13,0.18071065989847718,0.024483334651438062,0.5127537740760021,3698061.0,0.004764131422464937,33.0,0.5911655897231661,0.5911655897231661
14,0.07918781725888326,0.0038711060917583848,0.4505946935041171,1886500.0,0.002234636108722341,28.0,0.4996497482282728,0.4996497482282728
15,0.050761421319796954,0.002302959986590528,0.43816725978647686,1220394.0,0.0014924477633326916,25.0,0.5085515644326879,0.5085515644326879
