node_id,DC,BC,CC,CI,PR,KS,SAASP-fixed,SAASP-adaptive,SIR_influence
0,0.08593363051015354,0.14630592147442917,0.35334266713335666,23406900.0,0.006289602618466542,21.0,0.5875763163779126,0.5875763163779126,
1,0.004210004952947003,2.7832744209034606e-06,0.2613761408505405,92144.0,0.00023590202311540972,13.0,0.2632974544436825,0.2632974544436825,
2,0.0024764735017335313,7.595021178512074e-08,0.26125776397515527,54720.0,0.00020310565091694567,9.0,0.2615053791955137,0.2615053791955137,
3,0.004210004952947003,1.6850656559280464e-06,0.2613761408505405,89008.0,0.00022552359869430614,13.0,0.2641520162481901,0.2641520162481901,
4,0.0024764735017335313,1.8403320547933104e-07,0.26125776397515527,55377.0,0.00023849264701222462,9.0,0.2348821496758516,0.2348821496758516,
5,0.0032194155522535907,2.205964164092193e-06,0.2613084837895554,71052.0,0.00020234812068977809,10.0,0.26388541486103145,0.26388541486103145,
6,0.0014858841010401188,2.4537760730577472e-08,0.26119016817593793,30990.0,0.00018001867135639642,5.0,0.14150602477796484,0.14150602477796484,
7,0.004952947003467063,0.0001702984836730339,0.2747686445291236,329175.0,0.00026267667111515796,12.0,0.2885325025778531,0.2885325025778531,
8,0.001981178801386825,2.7604980821899654e-07,0.2612239617026782,43344.0,0.00023737300152657922,5.0,0.11434439426138857,0.11434439426138857,293.9
9,0.014115898959881128,1.6454236303026905e-05,0.2620546433902265,233072.0,0.0006001572433028075,21.0,0.27637360476941425,0.27637360476941425,
10,0.0024764735017335313,4.986739552037655e-08,0.26125776397515527,52092.0,0.00013504865958890368,10.0,0.2609569866107636,0.2609569866107636,
11,0.00024764735017335313,0.0,0.26110572259941806,0.0,5.2591423276218314e-05,1.0,0.009813553633493476,0.009813553633493476,
12,0.00024764735017335313,0.0,0.26110572259941806,0.0,5.2591423276218314e-05,1.0,0.011215452526043737,0.011215452526043737,
13,0.007677067855373947,1.7622717578436846e-06,0.26161321671525756,146640.0,0.0003306419576230765,21.0,0.26813579016739847,0.26813579016739847,
14,0.003714710252600297,5.582871686568508e-07,0.2613423079412336,83986.0,0.00028864398034146046,10.0,0.2650786935930682,0.2650786935930682,1161.5
15,0.00024764735017335313,0.0,0.26110572259941806,0.0,5.2591423276218314e-05,1.0,0.008894411402454621,0.008894411402454621,
16,0.002228826151560178,1.9979459275532697e-07,0.2612408617454875,47816.0,0.00013324305769198052,9.0,0.26026547967936414,0.26026547967936414,
17,0.0032194155522535907,4.1066669000480344e-07,0.2613084837895554,72276.0,0.00026000987429524483,9.0,0.2642149117736907,0.2642149117736907,1455.5
18,0.00024764735017335313,0.0,0.26110572259941806,0.0,5.2591423276218314e-05,1.0,0.008486875029094907,0.008486875029094907,
19,0.00396235760277365,5.062957964075819e-06,0.2613592233009709,90735.0,0.00038064314056362173,7.0,0.2627096111505646,0.2627096111505646,
20,0.003714710252600297,6.793693332142838e-07,0.2613423079412336,84252.0,0.00029297537600066995,9.0,0.2625078844963974,0.2625078844963974,
21,0.016097077761267953,0.0009380243844653233,0.2756125861715924,991168.0,0.0006928319433106635,21.0,0.2986666065025377,0.2986666065025377,
22,0.0027241208519068845,6.703002200833232e-07,0.2612746683921061,59880.0,0.00016385672869526872,9.0,0.26197703802187167,0.26197703802187167,
23,0.004210004952947003,6.860348937590618e-06,0.2613761408505405,97616.0,0.0004043263404882842,7.0,0.26436853291229606,0.26436853291229606,
24,0.00396235760277365,1.3673472422981514e-07,0.2613592233009709,88695.0,0.00022824011209266327,15.0,0.2622976396043882,0.2622976396043882,
25,0.017087667161961365,5.38808313945586e-05,0.26225888160031174,274040.0,0.0008004126605197681,21.0,0.27949016163562174,0.27949016163562174,
26,0.016840019811788013,1.935436798204632e-05,0.26224184959085595,248168.0,0.0006922746319436038,21.0,0.278763414791412,0.278763414791412,
27,0.0012382367508667657,3.067220091322184e-08,0.2611732746911584,24424.0,9.900477693053426e-05,5.0,0.13568648219666662,0.13568648219666662,
28,0.0032194155522535907,3.812160659244892e-07,0.2613084837895554,72432.0,0.0002552192093758929,10.0,0.26374552241187144,0.26374552241187144,
29,0.0032194155522535907,1.3954817951917517e-06,0.2613084837895554,70524.0,0.00019154955480122382,9.0,0.2621305757299247,0.2621305757299247,
30,0.004210004952947003,1.3694627409316544e-06,0.2613761408505405,89152.0,0.0002121964513121638,14.0,0.2636728993731642,0.2636728993731642,
31,0.005695889053987122,4.932641252790837e-06,0.2614776921582594,119416.0,0.00029936195818065976,14.0,0.26867893451848257,0.26867893451848257,
32,0.0014858841010401188,0.0,0.26119016817593793,30895.0,0.00014788937149430478,6.0,0.16757617164190536,0.16757617164190536,281.5
33,0.0004952947003467063,0.0,0.26112260734609416,6230.0,9.172093610965165e-05,2.0,0.013435978368720576,0.013435978368720576,305.7
34,0.0012382367508667657,0.0036020881281963652,0.3033125516412529,69840.0,9.248443396698941e-05,5.0,0.1518254716526413,0.1518254716526413,
35,0.0004952947003467063,0.0,0.26112260734609416,6220.0,7.353643512923525e-05,2.0,0.04339503854721402,0.04339503854721402,
36,0.0027241208519068845,2.726417858953052e-08,0.2612746683921061,60820.0,0.0001850267791448929,10.0,0.26467594938135364,0.26467594938135364,
37,0.00024764735017335313,0.0,0.26110572259941806,0.0,5.2591423276218314e-05,1.0,0.010926477902187221,0.010926477902187221,
38,0.002228826151560178,7.344481172858835e-07,0.2612408617454875,48016.0,0.00014126143938496464,8.0,0.261099908187683,0.261099908187683,
39,0.003714710252600297,9.548632622274015e-07,0.2613423079412336,80024.0,0.00019468359653213862,12.0,0.2686055019147242,0.2686055019147242,
40,0.010896483407627538,1.3796059569123122e-05,0.26183374400207493,197284.0,0.0004956290864477818,21.0,0.2772010569548859,0.2772010569548859,
41,0.005943536404160475,4.673274954378314e-06,0.26149462504856885,135976.0,0.00046530604538298797,10.0,0.26709310175420264,0.26709310175420264,
42,0.0004952947003467063,0.0,0.26112260734609416,6230.0,9.172093610965165e-05,2.0,0.012063004914663144,0.012063004914663144,
43,0.00024764735017335313,0.0,0.26110572259941806,0.0,5.2591423276218314e-05,1.0,0.009345689446765016,0.009345689446765016,1.0
44,0.0014858841010401188,0.0,0.26119016817593793,30675.0,0.00013694286955319687,6.0,0.1666779555036858,0.1666779555036858,
45,0.0029717682020802376,3.0243457405507097e-07,0.2612915749967646,63624.0,0.0001596025527911737,11.0,0.26107978057651576,0.26107978057651576,
46,0.0012382367508667657,0.0,0.2611732746911584,24728.0,0.00013312362076432354,5.0,0.1368222498744314,0.1368222498744314,
47,0.0004952947003467063,0.0,0.26112260734609416,6229.0,8.030042198440289e-05,2.0,0.04401215133037925,0.04401215133037925,
48,0.005448241703813769,5.29085361854899e-06,0.26146076146076147,117957.0,0.00029272795380994835,14.0,0.2642447174588287,0.2642447174588287,
49,0.0009905894006934125,1.8403320547933104e-07,0.26115638339154057,18669.0,0.00015564790905136537,2.0,0.110547291359604,0.110547291359604,
50,0.0027241208519068845,5.135467952242277e-07,0.2612746683921061,58800.0,0.00015285262772959924,10.0,0.2623139993903376,0.2623139993903376,
51,0.001733531451213472,9.201660273966552e-08,0.2612070638463031,36576.0,0.00014051490911703464,7.0,0.14484192253394912,0.14484192253394912,
52,0.0004952947003467063,0.0,0.26112260734609416,6227.0,8.219518722798913e-05,2.0,0.04096276751587824,0.04096276751587824,
53,0.007677067855373947,1.0849233385514972e-05,0.26161321671525756,167160.0,0.00041525518043789315,15.0,0.26666711947408994,0.26666711947408994,
54,0.001981178801386825,3.6120168027808387e-07,0.2612239617026782,42196.0,0.0001346315395348503,7.0,0.22999833701659048,0.22999833701659048,
55,0.004210004952947003,1.8160988132495756e-07,0.2613761408505405,86000.0,0.00019740128445968694,17.0,0.26413885136857157,0.26413885136857157,
